MRN,Division,Line Code,Station Name,Boro,ADA Access (YES/NO/Partial),Description of ADA Access ,1 Control Area (YES/NO),1 Control Area per Platform (NB/SB/BOTH),Control Area Closed ,Stairs Closed in Closed CA,Closed Stand Alone Stair ,1 Flight Closed,2 Flights Closed - Number denotes each stair in flight,Total Closed Street Stairs ,Other Stairs, Plat Stairs Closed (#),Passageway/Underpass/Overpass Closed,Easement Closed,Street Stair and Control Area Closures,Notes ,,,,
230,IND,6AV,Broadway-Lafayette St,M,Yes,,,,2,5,,,,5,,,,,7,"Mezz taken for employee space (3 closed street stairs), North mezz also closed (2 closed street stairs)",,,,
231,IND,6AV,Grand St,M,,,YES,,,,,,,0,,,,,0,,,,,
232,IND,6AV,2nd Av,M,,,,,0,,,,,0,,,,,0,"eastern mezzane at 1st Ave closed, no street access",,,,
233,IND,6AV,Delancey St,M,No,,,,2,4,,,,4,,,,,6,northern N524 at Rivington and southern N527 at Broome closed - 2 street stairs each,,,,
234,IND,6AV,East Broadway,M,No,,,,2,2,1,,,3,,,,,5,2 closed street stairs at Henry St,,,,
235,IND,6AV,York St,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair to mezz,,,,
236,IND,CUL,Bergen St,BK,No,,,,,,1,,,1,,,,,1,,,,,
237,IND,CUL,Carroll St,BK,No,,,,,,2,,,2,,,,,2,,,,,
238,IND,6AV,Smith-9th St,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
239,IND,6AV,4th Av,BK,,,,,,,,,,0,,,,,0,,,,,
240,IND,6AV,7th Av,BK,,,,,,,,,,0,,,,,0,,,,,
241,IND,6AV,Prospect Park-15 St,BK,,,,,,,,,,0,,,,,0,,,,,
242,IND,6AV,Fort Hamilton Parkway,BK,No,,,,,,2,,,2,,1,,,2,,,,,
243,IND,6AV,Church Av,BK,,,,,,,,,,0,,,,,0,,,,,
244,IND,CUL,Ditmas Av,BK,,,,,,,,,,0,,,,,0,,,,,
245,IND,CUL,18th Av,BK,,,,,,,,,,0,,,,,0,,,,,
246,IND,CUL,Av I,BK,,,,,,,,,,0,,,,,0,Interior of south mezz closed (exit only CA-2),,,,
247,IND,CUL,Bay Parkway-22nd Av,BK,,,YES,,,,,,,0,,,,,0,,,,,
248,IND,CUL,Av N,BK,,,,,,,,,,0,,,,,0,,,,,
249,IND,CUL,Av P,BK,,,YES,,,,,,,0,,,,,0,,,,,
250,IND,CUL,Kings Highway,BK,,,,,,,,,,0,,,,,0,,,,,
251,IND,CUL,Av U,BK,,,,,,,,,,0,,,,,0,Interior of south mezz closed ,,,,
252,IND,CUL,Av X,BK,,,,NB,,,,,,0,,,,,0,,,,,
253,IND,CUL,Neptune Av-Van Siclen,BK,,,YES,,,,,,,0,,,,,0,,,,,
254,IND,QBL,Jamaica-179th St,Q,,,,,,,,,,0,,,,,0,,,,,
255,IND,QBL,169th St,Q,,,,,,,,,,0,,,,,0,,,,,
256,IND,QBL,Parsons Blvd,Q,,,,,,,,,,0,,,,,0,,,,,
257,IND,QBL,Sutphin Blvd,Q,No,,,,,,1,,,1,,,,,1,,,,,
258,IND,QBL,Briarwood-Van Wyck Blvd,Q,No,,,,1,1,1,,,2,,,,,3,,,,,
259,IND,QBL,Kew Gardens-Union Turnpike,Q,Yes,,,,,,1,,,1,,,,,1,western Jackie Robinson Pkwy entrance into western control area is closed,,,,
260,IND,QBL,75th Av,Q,,,,,,,,,,0,,,1,,0,,,,,
261,IND,QBL,Forest Hills-71st Av,Q,,,,,,,,,,0,,,,,0,,,,,
262,IND,QBL,67th Av,Q,,,,,,,,,,0,,,,,0,,,,,
263,IND,QBL,63rd Drive-Rego Park,Q,,,,,,,,,,0,,,,,0,,,,,
264,IND,QBL,Woodhaven Blvd,Q,No,,,,,,2,,,2,,,1,,2,northeast street passageway closed,,,,
265,IND,QBL,Grand Av-Newtown,Q,,,,,,,,,,0,,,,,0,,,,,
266,IND,QBL,Elmhurst Av,Q,,,,,,,,,,0,,,,,0,not included:  NE street stair at Elmhurst Ave closed but replaced & 2 street stairs on w/s of 82 St closed but replaced ,,,,
267,IND,QBL,Jackson Heights-Roosevelt Ave,Q,,,,,,,,,,0,,,,,0,,,,,
268,IND,QBL,65th St,Q,No,,YES,,2,2,,,,2,,,,,4,western control areas (63 St) on both platforms closed,,,,
269,IND,QBL,Northern Blvd,Q,No,,,BOTH,2,2,,,,2,,,,,4,eastern control areas (56 St) on both platforms closed,,,,
270,IND,QBL,46th St,Q,,,,,,,,,,0,,,,,0,potential nubs at center of platform,,,,
271,IND,QBL,Steinway St,Q,,,,,,,,,,0,,,,,0,,,,,
272,IND,QBL,36th St,Q,,,,,,,,,,0,,,,,0,,,,,
273,IND,QBL,Queens Plaza,Q,,,,,,,,,,0,,,,,0,,,,,
274,IND,QBL,Court Sq-23 St,Q,,,,,,,,,,0,,,,,0,,,,,
275,IND,E53,Lexington Av-53rd St,M,,,,,,,,,,0,,,,,0,,,,,
276,IND,E53,5th Av-53rd St,M,,,,,,,,,,0,,,,,0,,,,,
277,IND,E53,7th Av,M,No,,,,1,1,,,,1,,,,,2,East Mezz (between 6th and 7th Aves) Closed,,,,
278,IND,ARC,Parsons Blvd-Archer Av - Jamaica Center,Q,,,,,,,,,,0,,,,,0,,,,,
279,IND,ARC,Sutphin Blvd-Archer Av - JFK,Q,,,,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
280,IND,ARC,Jamaica-Van Wyck,Q,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
281,IND,BCT,Long Island City-Court Square,Q,No,,,,1,1,1,,,2,,,,,3,IND ONLY,,,,
282,IND,BCT,21st St,Q,No,,YES,,2,4,,,,4,,1,,,6,2 street stairs closed per closed CA; 2 Additional Plat Stairs removed,,,,
283,IND,BCT,Greenpoint Av,BK,,,,,,,,,,0,,,,,0,"Plans marked w/""Future Stair"" ",,,,
284,IND,BCT,Nassau Av,BK,,,,,,,,,,0,,,,,0,,,,,
285,IND,BCT,Metropolitan Av,BK,No,,,,1,4,2,,,6,,8,1,,7,"Closed CA N410 w/4 closed street stairs, other 2 street stair closures at north end; all platform stairs come up to common landings",,,,
286,IND,BCT,Broadway,BK,No,,,,2,6,,,,6,,2,1,,8,"N411 at north end-includes passageway and 5 street stairs, 1 street stair closed at CA N412, Possible auxilarly CA closed at SB plat",,,,
287,IND,BCT,Flushing Av,BK,No,,,BOTH,1,2,,,,2,,2,,,3,,,,,
288,IND,BCT,Myrtle-Willoughby Avs,BK,No,,,BOTH,2,2,,,,2,,2,,,4,"1 Street Stair/Plat, Closed CA N416A, N415A",,,,
289,IND,BCT,Bedford-Nostrand Avs,BK,No,,,,,,4,,,4,,2,2,,4,"Closed passageway with 2 Street Stairs from CA N418, closed passageway and street stairs from CAN417",,,,
290,IND,BCT,Classon Av,BK,,,YES,,,,,,,0,,4,,,0,2 closed platform stairs per platform,,,,
291,IND,BCT,Clinton-Washington Avs,BK,,,,,,,,,,0,,,,,0,,,,,
292,IND,BCT,Fulton St,BK,No,,,,1,2,,,,2,,,,,3,N422A and N422B recently reopened,,,,
293,IRT,BW7,Van Cortlandt Park-242nd St,BX,,,YES,,,,,,,0,,,,,0,,,,,
294,IRT,BW7,238th St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
295,IRT,BW7,231st St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
296,IRT,BW7,Marble Hill-225th St,M,,,,BOTH,,,,,,0,,,,,0,1 Street Stair/Plat,,,,
297,IRT,BW7,215th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
298,IRT,BW7,207th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
299,IRT,BW7,Dyckman St,M,,,YES,,,,,,,0,,,,,0,"1 Plat Stair/Plat, 1 Street Stair",,,,
300,IRT,BW7,191st St,M,,,YES,,,,,,,0,,,1,,0,"1 Plat Stair NB Plat, Elevator Only to street, passageway closed at street level",,,,
301,IRT,BW7,181st St,M,,,YES,,,,,,,0,,,1,,0,Overpass to Elev at Plat Level closed at SB Plat,,,,
302,IRT,BW7,168th St,M,,,,,,,,,,0,,,,,0,Elevator Only to street,,,,
303,IRT,BW7,157th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
304,IRT,BW7,145th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
305,IRT,BW7,137th St-City College,M,,,,BOTH,,,,,,0,,,,,0,,,,,
306,IRT,BW7,125th St,M,,,YES,,,,,,,0,,,,,0,,,,,
307,IRT,BW7,116th St-Columbia University,M,,,,SB,,,,,,0,,,,,0,,,,,
308,IRT,BW7,Cathedral Parkway-110th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
309,IRT,BW7,103rd St,M,,,,SB,,,,,,0,,,,,0,,,,,
310,IRT,BW7,96th St,M,Yes,,,,2,2,,,,2,,,,,4,,,,,
311,IRT,BW7,86th St,M,,,,NB,,,,,,0,,,,,0,,,,,
312,IRT,BW7,79th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
313,IRT,BW7,72nd St,M,,,,,,,,,,0,,,,,0,,,,,
314,IRT,BW7,66th St-Lincoln Center,M,,,,,,,,,,0,,,,,0,,,,,
315,IRT,BW7,59th St-Columbus Circle,M,,,,,,,,,,0,,,,,0,,,,,
316,IRT,BW7,50th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
317,IRT,BW7,Times Square,M,,,,,,,,,,0,,,,,0,REF:MRN 467,,,,
318,IRT,BW7,34th St,M,Yes,,,,1,1,2,,,3,,1,,3,4,,,,,
319,IRT,BW7,28th St,M,,,,,,,,,,0,,,,,0,,,,,
320,IRT,BW7,23rd St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
321,IRT,BW7,18th St,M,,,,,,,,,,0,,,,,0,,,,,
322,IRT,BW7,14th St,M,,,,,,,,,,0,,,,,0,,,,,
323,IRT,BW7,Christopher St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
324,IRT,BW7,Houston St,M,,,,,,,,,,0,,,,,0,,,,,
325,IRT,BW7,Canal St,M,No,,,BOTH,,,3,,,3,,,1,,3,Closed passageway to street,,,,
326,IRT,BW7,Franklin St,M,,,,,,,,,,0,,,,,0,,,,,
327,IRT,BW7,Chambers St,M,,,YES,,,,,,,0,,,,,0,,,,,
328,IRT,BW7,Cortlandt St,M,,,,,,,,,,0,,,,,0,Under construction,,,,
329,IRT,BW7,Rector St,M,,,,,,,,,,0,,,,,0,,,,,
330,IRT,BW7,South Ferry,M,,,,,,,,,,0,,,,,0,,,,,
331,IRT,CLK,Park Place,M,No,,,,,,1,,,1,,,,1,1,easement into Woolworth Bldg closed,,,,
332,IRT,CLK,Fulton St,M,,,,,,,,,,0,,,,,0,,,,,
333,IRT,CLK,Wall St,M,No,,,,1,1,,,,1,,,,,2,,,,,
334,IRT,CLK,Clark St,BK,,,YES,,,,,,,0,,,,,0,,,,,
335,IRT,CLK,Borough Hall,BK,Yes,,,,,,1,,,1,,,,1,1,Easement passageway closed from IRT Mezz,,,,
336,IRT,EPK,Hoyt St,BK,No,,,,1,1,,,,1,,,1,2,2,"2 Easements closed, underpass closed",,,,
337,IRT,EPK,Nevins St,BK,,,,BOTH,,,,,,0,,,,,0,Closed lower platform,,,,
338,IRT,EPK,Atlantic Av-Barclays Ctr,BK,,,,,,,,,,0,,1,,,0,,,,,
339,IRT,EPK,Bergen St,BK,No,,,BOTH,,,1,,,1,,,,,1,,,,,
340,IRT,EPK,Grand Army Plaza,BK,,,YES,,,,,,,0,,,,,0,,,,,
341,IRT,EPK,Eastern Parkway-Brooklyn Museum,BK,No,,YES,,1,2,,,,2,1,,,,3,"western mezzanine - 1 Plat Stair/Plat, Mezz level Stair Closed, Closed CA R620",,,,
342,IRT,EPK,Franklin Av,BK,,,YES,,,,,,,0,,,,,0,Transfer available to shuttle,,,,
343,IRT,EPK,Nostrand Av,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
344,IRT,EPK,Kingston Av,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
345,IRT,EPK,Utica Av,BK,,,,,,,,,,0,,,,,0,,,,,
346,IRT,NLT,Sutter Av,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
347,IRT,NLT,Saratoga Av,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair at NB Plat,,,,
348,IRT,NLT,Rockaway Av,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
349,IRT,NLT,Junius St,BK,No,,YES,,1,2,,,,2,,,,,3,Shared landing - Plat Stairs; eastern Junius St mezzanine closed and street stairs removed,,,,
350,IRT,NLT,Pennsylvania Av,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
351,IRT,NLT,Van Siclen Av,BK,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
352,IRT,NLT,New Lots Av,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
353,IRT,NOS,President St,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
354,IRT,NOS,Sterling St,BK,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
355,IRT,NOS,Winthrop St,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
356,IRT,NOS,Church Av,BK,Yes,,,BOTH,,,1,,,1,,,,,1,,,,,
357,IRT,NOS,Beverly Rd,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
358,IRT,NOS,Newkirk Av,BK,,,,NB,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
359,IRT,NOS,Flatbush Av-Brooklyn College,BK,,,,,,,,,,0,,1,,,0,,,,,
360,IRT,PEL,Pelham Bay Park,BX,,,YES,,,,,,,0,,,,,0,Unused platform,,,,
361,IRT,PEL,Buhre Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
362,IRT,PEL,Middletown Rd,BX,,,YES,,,,,,,0,,,,,0,Shared landing - Plat Stairs,,,,
363,IRT,PEL,Westchester Square-East Tremont Av,BX,,,YES,,,,,,,0,,,,,0,"Shared landing - Plat Stairs, 1 Street Stair",,,,
364,IRT,PEL,Zerega Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
365,IRT,PEL,Castle Hill Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
366,IRT,PEL,Parkchester-East 177th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
367,IRT,PEL,St Lawrence Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
368,IRT,PEL,Morrison Av-Soundview Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
369,IRT,PEL,Elder Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
370,IRT,PEL,Whitlock Av,BX,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
371,IRT,PEL,Hunts Point Av,BX,,,,SB,,,,,,0,,,,,0,NB Plat has Exit Only Control Area ,,,,
372,IRT,PEL,Longwood Av,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
373,IRT,PEL,East 149th St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
374,IRT,PEL,East 143rd St-St Mary's St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
375,IRT,PEL,Cypress Av,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
376,IRT,PEL,Brook Av,BX,,,,BOTH,,,,,,0,,,,,0,Entrance to store off of street stair closed,,,,
377,IRT,PEL,138th St-3rd Ave,BX,No,,,,,,1,,,1,,2,,,1,,,,,
378,IRT,JER,Woodlawn,BX,,,YES,,,,,,,0,,,,,0,,,,,
379,IRT,JER,Mosholu Parkway,BX,,,,,,,,,,0,,,,,0,,,,,
380,IRT,JER,Bedford Park Blvd-Lehman College,BX,,,YES,,,,,,,0,,,,,0,"Shared landing-Plat Stairs, 1 Street Stair",,,,
381,IRT,JER,Kingsbridge Rd,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
382,IRT,JER,Fordham Rd,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
383,IRT,JER,183rd St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
384,IRT,JER,Burnside Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
385,IRT,JER,176th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
386,IRT,JER,Mt Eden Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
387,IRT,JER,170th St,BX,No,,YES,,,,1,,,1,,,,,1,Shared landing-Plat Stairs,,,,
388,IRT,JER,167th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
389,IRT,JER,Yankee Stadium-161st St,BX,,,,,,,,,,0,,,,,0,S. Mezz open events only,,,,
390,IRT,JER,149th St-Grand Concourse,BX,,,,,,,,,,0,,,,,0,,,,,
391,IRT,JER,138th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
392,IRT,LEX,125th St,M,,,YES,,,,,,,0,,1,,,0,,,,,
393,IRT,LEX,116th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
394,IRT,LEX,110th St,M,No,,,BOTH,2,2,,,,2,,,,,4,both platforms - 111 St control areas closed,,,,
395,IRT,LEX,103rd St,M,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
396,IRT,LEX,96th St,M,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stairs,,,,
397,IRT,LEX,86th St,M,No,,,BOTH,,,1,1,,2,,,,1,2,Closed easement entrance to dept. store,,,,
398,IRT,LEX,77th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
399,IRT,LEX,68th St-Hunter College,M,,,YES,,,,,,,0,,,,,0,,,,,
400,IRT,LEX,59th St,M,No,,,,1,2,1,,,3,,,,1,4,Closed easement entrance to dept. store,,,,
401,IRT,LEX,51st St,M,Yes,,,,1,1,,,,1,,,,1,2,Closed CA and easement to NY public library,,,,
402,IRT,LEX,Grand Central-42nd St,M,Yes,,,,1,1,1,,2,4,,1,1,3,5,"Easement closed to Mobil, Pershing, Lincoln buildings, Mezz D Closed, passageway to GCT ",,,,
403,IRT,LEX,33rd St,M,No,,,,,,,,2,2,,,1,,2,,,,,
404,IRT,LEX,28th St,M,,,,NB,,,,,,0,,,1,,0,"transfer passageway closed, ",,,,
405,IRT,LEX,23rd St,M,No,,,,,,1,,,1,,,1,,1,n/b platform at 23 St - Passageway to Street Stair (and bldg) closed,,,,
406,IRT,LEX,14th St-Union Square,M,,,,,,,,,,0,,,,,0,REF MRN15,,,,
407,IRT,LEX,Astor Place,M,No,,,BOTH,,,1,,,1,,,1,,1,"1 Street Stair/CA, NB Street Stair partial barricade,transfer underpass closed",,,,
408,IRT,LEX,Bleecker St,M,Yes,,,,,,2,,,2,,,,,2,,,,,
409,IRT,LEX,Spring St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
410,IRT,LEX,Canal St,M,Yes,,,BOTH,,,1,,,1,,1,,,1,"LEX ONLY 1 Street Stairs closed for access to Employee space,",,,,
411,IRT,LEX,Brooklyn Bridge-City Hall,M,Yes,,,,,,1,,,1,,1,,,1,"Unused platform, closed street stair at east mezz",,,,
412,IRT,LEX,Fulton St,M,Yes,,,,1,2,,,,2,,,,1,3, R206N/Southside of 195 Broadway Easement closed; not included: n/b R205A due to Transit Center bldg,,,,
413,IRT,LEX,Wall St,M,No,,,,2,2,1,,,3,,2,,3,5,"Easement closed to Amer. Express Bldg, 51 Broadway, and BNY",,,,
414,IRT,LEX,Bowling Green,M,,,,,,,,,,0,,,,,0,,,,,
415,IRT,LEX,Borough Hall,BK,Partial,Manhattan bound platform ,,,,,1,1,,2,,,,1,2,"LEX ONLY, Easement closed to municipal bldg, 2 street stairs closed, REF to MRN 335",,,,
416,IRT,WPR,Wakefield-241st St,BX,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
417,IRT,WPR,238th St-Nereid Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
418,IRT,WPR,233rd St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
419,IRT,WPR,225th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
420,IRT,WPR,219th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
421,IRT,WPR,Gun Hill Rd,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
422,IRT,WPR,Burke Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
423,IRT,WPR,Allerton Av,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
424,IRT,WPR,Pelham Parkway,BX,,,,,,,,,,0,,,,,0,,,,,
425,IRT,WPR,Bronx Park East,BX,No,,YES,,,,1,,,1,,,,,1,,,,,
426,IRT,WPR,East 180th St,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
427,IRT,WPR,East Tremont Av-West Farms Sq,BX,,,,,,,,,,0,,,,,0,,,,,
428,IRT,WPR,174th St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
429,IRT,WPR,Freeman St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
430,IRT,WPR,Simpson St,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
431,IRT,WPR,Intervale Av,BX,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
432,IRT,WPR,Prospect Av,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
433,IRT,WPR,Jackson Av,BX,,,,BOTH,,,,,,0,,,,,0,,,,,
434,IRT,WPR,149th St-3rd Av,BX,No,,,BOTH,,,1,,,1,,,1,,1,Closed transfer passageway,,,,
435,IRT,WPR,149th St-Grand Concourse (LL),BX,,,,,,,,,,0,,2,1,,0,Overpass closed,,,,
436,IRT,LNX,Harlem-148th St,M,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
437,IRT,LNX,145th St,M,,,,BOTH,,,,,,0,,,,,0,NB is Exit Only ,,,,
438,IRT,LNX,135th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
439,IRT,LNX,125th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
440,IRT,LNX,116th St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
441,IRT,LNX,110th St-Central Park North,M,,,,,,,,,,0,,,,,0,,,,,
442,IRT,DYR,Eastchester-Dyre Av,BX,,,,BOTH,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
443,IRT,DYR,Baychester Av,BX,,,YES,,,,,,,0,,,,,0,1 Plat Stair/Plat,,,,
444,IRT,DYR,Gun Hill Rd,BX,,,YES,,,,,,,0,,,,,0,1 Plat Stair at SB Plat,,,,
445,IRT,DYR,Pelham Parkway,BX,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
446,IRT,DYR,Morris Park,BX,No,,YES,,,,1,,,1,,,1,,1,"Closed transfer underpass, 1 Plat Stair/Plat",,,,
447,IRT,FLS,Flushing-Main St,Q,Yes,,,,1,3,,,,3,,,,,4,Street Stairs closed for Employee space,,,,
448,IRT,FLS,Mets - Willets Point,Q,,,,,,,,,,0,,,,,0,,,,,
449,IRT,FLS,111th St,Q,No,,YES,,1,2,,,,2,,,,,3,western R531 mezzanine closed,,,,
450,IRT,FLS,103rd St,Q,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
451,IRT,FLS,Junction Blvd,Q,,,YES,,,,,,,0,,,,,0,,,,,
452,IRT,FLS,90th St Elmhurst,Q,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
453,IRT,FLS,82nd St-Jackson Heights,Q,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
454,IRT,FLS,Broadway-74th St,Q,,,,,,,,,,0,,,,,0,,,,,
455,IRT,FLS,Fisk Av-69th St,Q,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
456,IRT,FLS,Woodside Av-61st St,Q,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair,,,,
457,IRT,FLS,Lincoln Av-52nd St,Q,,,,,,,,,,0,,,,,0,,,,,
458,IRT,FLS,Bliss St-46th St,Q,No,,,,,,2,,,2,,,,,2,street stairs on e/s 47 St closed,,,,
459,IRT,FLS,Lowery St-40th St,Q,,,YES,,,,,,,0,,,,,0,Shared landing-Plat Stair ,,,,
460,IRT,FLS,Rawson St-33rd St,Q,,,,,,,,,,0,,,,,0,,,,,
461,IRT,FLS,Queensboro Plaza,Q,,,YES,,,,,,,0,,,,,0,,,,,
462,IRT,FLS,45 Rd-Court House Sq,Q,,,YES,,,,,,,0,,,,,0,"Transfer available, 1 Plat Stair/Plat",,,,
463,IRT,FLS,Hunters Point,Q,No,,YES,,,,1,,,1,,,,,1,Shared landing-Plat Stair,,,,
464,IRT,FLS,Vernon Blvd-Jackson Av,Q,No,,,,1,1,,,,1,,1,,,2,,,,,
465,IRT,FLS,Grand Central-42nd St,M,,,YES,,,,,,,0,,,,,0,"FLS ONLY, transfer available",,,,
466,IRT,FLS,5th Av,M,No,,,,,,1,,,1,,,,,1,"FLS ONLY, transfer available, closed passageway/stair across 42st",,,,
467,IRT,FLS,Times Square,M,Yes,,,,1,2,1,,,3,,4,,,4,"1 Street Stair closed at lower mezz, 2 at upper mezz",,,,
468,IRT,42S,Times Square,M,No,,,,1,1,2,,,3,,,,,4,"42S ONLY plus mezz, 1 closed CA with 1 closed street stair",,,,
469,IRT,42S,Grand Central,M,,,,,,,,,,0,,,,,0,REF to 402,,,,
