MRN,Division,Line Code,Station Name,Boro,ADA Access (YES/NO/Partial),Description of ADA Access ,1 Control Area (YES/NO),1 Control Area per Platform (NB/SB/BOTH),Control Area Closed ,Stairs Closed in Closed CA,Closed Stand Alone Stair ,1 Flight Closed,2 Flights Closed - Number denotes each stair in flight,Total Closed Street Stairs ,Other Stairs, Plat Stairs Closed (#),Passageway/Underpass/Overpass Closed,Easement Closed,Street Stair and Control Area Closures,Notes ,,,,
14,BMT,BWY,23rd St,M,,,,,,,,,,0,,,1,,0,closed underpass between platforms,,,,
15,BMT,BWY,Union Square,M,Yes,All except Lex Platforms,,,,,1,,,1,,,,1,1,SW corner 15th & Bway - closed easement along Bway frontage,,,,
16,BMT,BWY,8th St,M,,,,,,,,,,0,,,,,0,,,,,
17,BMT,BWY,Prince St,M,,,,BOTH,,,,,,0,,,,,0,,,,,
18,BMT,BWY,Canal St (UL),M,,,,,,,,,,0,,,,,0,,,,,
19,BMT,BWY,Canal St (LL),M,,,,,,,,,,0,,,,,0,not included:  1 abandoned plat stair per LL BWY plat to unused NAS platform,,,,
20,BMT,BWY,City Hall,M,No ,,,,,,1,,,1,,,,1,1,abandoned passageway and easement entrance through Woolworth Bldg; not included:  closed platform stairs to lower platform,,,,
21,BMT,BWY,Cortlandt St,M,,,,,,,,,,0,,,,,0,,,,,
22,BMT,BWY,Rector St,M,,,,,,,,,,0,,,,,0,,,,,
23,BMT,BWY,Whitehall St,M,,,,,,,,,,0,,,,,0,,,,,
24,BMT,BWY,Court St,BK,No ,,,,,,1,,,1,,,1,,1,abandoned passageway & street stair to NW corner of Montague & Court,,,,
25,BMT,BWY,Lawrence St,BK,,,,,,,,,,0,,,,,0,,,,,
26,BMT,4AV,DeKalb Av,BK,Yes,,,,1,1,1,,,2,,,,1,3,abandoned entrance through Dime Savings Bank bldg; 1 closed plat stair per platorm,,,,
27,BMT,4AV,Atlantic Av-Barclays Ctr,BK,Yes,,,,,,2,,,2,,,,,2,"C9 platform stairs all bunched together, closed Street Stairs at Atlantic and 4th Av (now employee space)",,,,
28,BMT,4AV,Union St,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
29,BMT,4AV,9th St,BK,,,,,,,,,,0,,,,,0,,,,,
30,BMT,4AV,Prospect Av,BK,,,,BOTH,,,,,,0,,,,,0,,,,,
31,BMT,4AV,25th St,BK,,,,BOTH,,,,,,0,,,,,0,1 street stair per platform,,,,
